latitude,longitude
-35.7698,141.3367
-37.5621,149.3685
-37.5063,149.43
-38.0805,141.9096
-38.0668,141.9042
-38.0735,141.8754
-35.7542,141.3474
-37.6784,148.5034
-37.7003,148.3424
-37.3552,147.6306
-37.3567,147.6191
-37.3475,147.6171
-37.2711,147.9839
-37.2726,147.9725
-37.2741,147.9611
-37.2756,147.9496
-37.2787,147.9261
-37.546,149.3768
-37.5476,149.3655
-37.2677,147.9535
-37.6044,148.9688
-37.606,148.9575
-37.6108,148.9234
-37.6124,148.912
-37.6457,148.673
-37.6473,148.6616
-37.1091,148.1028
-37.0818,148.0972
-37.6959,148.3059
-37.4752,149.7947
-37.4769,149.7833
-37.0886,147.0025
-37.09,146.9907
-37.4803,149.7606
-37.0685,147.0854
-37.0701,147.0729
-37.482,149.7492
-36.9802,147.3546
-37.4837,149.7378
-37.537,149.3747
-37.5501,149.2841
-37.5858,149.0348
-37.5906,149.0009
-37.5954,148.9668
-37.597,148.9554
-37.6034,148.91
-37.6161,148.8191
-37.6177,148.8077
-37.6383,148.6595
-36.9637,146.8086
-37.6524,148.5567
-36.9667,146.7836
-36.9581,146.8144
-36.9596,146.8021
-37.4701,149.7758
-36.9471,146.8251
-36.9487,146.8125
-37.4735,149.7531
-37.4802,149.7076
-37.4819,149.6963
-36.9377,146.8231
-37.525,149.4013
-37.5267,149.39
-36.9331,146.7836
-36.9347,146.7709
-36.9362,146.7586
-37.5577,149.1748
-37.5803,149.0161
-37.5835,148.9935
-37.5851,148.9821
-37.5867,148.9708
-36.9076,146.6779
-36.9091,146.6659
-37.5948,148.914
-36.8982,146.6757
-36.8997,146.6637
-37.6091,148.8118
-37.6107,148.8004
-37.6123,148.7891
-37.6425,148.5723
-37.6441,148.5609
-37.6488,148.5266
-37.6504,148.5152
-36.562,147.9387
-36.5636,147.9271
-37.4695,149.7168
-37.4712,149.7055
-37.5127,149.4219
-37.5144,149.4105
-37.516,149.3992
-36.5021,148.0473
-37.5291,149.3086
-36.4689,148.017
-37.5373,149.252
-37.5454,149.1953
-37.547,149.184
-36.4813,147.7158
-36.4828,147.7044
-36.4079,147.9282
-36.4125,147.8942
-36.4004,147.9147
-36.4035,147.8922
-37.5825,148.9347
-36.4234,147.7443
-36.4248,147.7331
-37.5841,148.9233
-37.6033,148.787
-36.3777,147.875
-37.6192,148.6731
-36.3702,147.8617
-36.3717,147.8502
-37.6255,148.6274
-36.3651,147.8425
-37.6665,148.3294
-36.356,147.8406
-37.6681,148.3179
-36.3576,147.8291
-37.6696,148.3064
-36.3485,147.8272
-36.3394,147.8253
-36.341,147.8138
-36.3118,147.9597
-36.3319,147.8119
-37.5021,149.4311
-37.5037,149.4197
-37.5053,149.4084
-36.2862,147.9424
-37.5185,149.3178
-37.5201,149.3065
-37.5234,149.2838
-36.3,147.7705
-36.2924,147.7574
-36.2939,147.7461
-36.2859,147.7504
-37.5526,149.08
-37.5735,148.9326
-36.2799,147.7257
-37.5751,148.9213
-36.2723,147.7122
-37.5767,148.9099
-37.5943,148.785
-36.2647,147.6988
-37.5958,148.7737
-37.5974,148.7623
-36.2465,147.6949
-37.6181,148.614
-37.6291,148.5341
-37.6574,148.3275
-37.659,148.316
-37.4848,149.4856
-37.493,149.429
-37.4947,149.4176
-37.5095,149.3157
-37.5111,149.3044
-37.529,149.1799
-37.5436,149.0779
-37.5884,148.7603
-37.6106,148.6006
-37.6795,148.0944
-37.5362,149.0646
-37.672,148.0807
-37.4501,149.5947
-37.4618,149.5154
-37.4634,149.5041
-37.4651,149.4927
-37.4394,149.604
-37.4411,149.5926
-37.4428,149.5813
-37.4528,149.5132
-37.4544,149.5019
-37.5803,148.6175
-37.5819,148.606
-37.4288,149.6132
-37.4304,149.6018
-37.4321,149.5905
-37.4371,149.5564
-37.5665,148.6497
-37.5681,148.6383
-37.5697,148.6269
-37.5712,148.6155
-37.5728,148.604
-37.6477,148.0516
-37.4114,149.6677
-37.4197,149.611
-37.4214,149.5997
-37.4264,149.5656
-37.4364,149.4977
-37.4381,149.4863
-37.5543,148.6705
-37.5559,148.6591
-37.5575,148.6477
-37.559,148.6363
-37.4157,149.5748
-37.4174,149.5635
-37.4274,149.4956
-37.5453,148.6684
-37.5468,148.657
-37.5484,148.6456
-37.7436,149.2827
-37.7452,149.2713
-37.7346,149.2806
-37.7362,149.2692
-37.7276,149.2731
-37.5399,148.6491
-37.7169,149.2823
-37.6792,147.6173
-37.4556,149.18
-37.4572,149.1687
-37.4588,149.1574
-37.7149,149.0355
-37.5309,148.647
-37.7181,149.0128
-37.4449,149.1892
-37.4466,149.1779
-37.4482,149.1666
-37.4498,149.1553
-37.5234,148.6337
-37.5392,148.5196
-37.6622,147.6018
-37.6904,149.0768
-37.6638,147.5899
-37.692,149.0655
-37.4359,149.1872
-37.4375,149.1759
-37.6798,149.0861
-37.6814,149.0748
-37.6345,147.7417
-37.6545,147.588
-37.6561,147.576
-37.6708,149.0841
-37.5069,148.6182
-37.5116,148.5841
-37.5648,148.1946
-37.5664,148.1829
-37.6637,149.0761
-37.5695,148.1597
-37.6222,147.7634
-37.6685,149.042
-37.6453,147.5861
-37.6701,149.0307
-37.6469,147.5742
-37.6484,147.5623
-37.4179,149.183
-37.6295,149.1854
-37.4244,149.1378
-37.426,149.1265
-37.6783,148.7743
-37.6192,147.7144
-37.6376,147.5723
-37.6392,147.5603
-37.4089,149.1809
-37.5902,149.3286
-37.4154,149.1357
-37.417,149.1244
-37.6284,147.5704
-37.6299,147.5585
-37.4015,149.1676
-37.6645,148.8065
-37.4031,149.1563
-37.4047,149.145
-37.666,148.7951
-37.6676,148.7837
-37.6191,147.5686
-37.6207,147.5566
-37.6692,148.7723
-37.3941,149.1542
-37.3957,149.1429
-37.3974,149.1316
-37.6099,147.5667
-37.6114,147.5548
-37.5763,149.3605
-37.578,149.3492
-37.5796,149.3378
-37.5927,149.2472
-37.6007,147.5648
-37.6022,147.5529
-37.5943,149.2358
-37.3812,149.1221
-37.3909,149.0543
-37.4102,148.9186
-37.4118,148.9073
-37.4134,148.896
-37.415,148.8847
-37.6347,148.9523
-37.4705,148.4871
-37.4721,148.4757
-37.4737,148.4643
-37.5953,147.5579
-37.6554,148.8045
-37.5969,147.546
-37.657,148.7931
-37.3738,149.1087
-37.3754,149.0975
-37.6586,148.7817
-37.377,149.0862
-37.6602,148.7703
-37.6665,148.7246
-37.6729,148.679
-37.5845,147.5682
-37.6745,148.6676
-37.586,147.5563
-37.5876,147.5443
-37.3648,149.1067
-37.7341,148.2309
-37.4571,148.449
-37.5752,147.5665
-37.5673,149.3584
-37.569,149.347
-37.3629,148.9897
-37.3869,148.82
-37.582,149.2564
-37.4296,148.5134
-37.5934,149.1771
-37.648,148.791
-37.6496,148.7796
-37.6512,148.7682
-37.6575,148.7227
-37.6591,148.7112
-37.4464,147.919
-37.6607,148.6998
-37.448,147.9073
-37.6623,148.6884
-37.6654,148.6656
-37.4389,147.9053
-37.4404,147.8936
-37.442,147.882
-37.678,148.5741
-37.3665,148.2344
-37.5567,149.3676
-38.0497,141.9089
-37.5583,149.3563
-37.3575,148.2323
-37.4167,147.5219
-37.4074,147.5202
-37.6198,148.9254
-37.409,147.5083
-37.6214,148.9141
-37.3813,147.6479
-37.3613,147.728
-37.3628,147.7162
-37.6516,148.6978
-37.6564,148.6636
-37.658,148.6521
-37.3613,147.6561
-37.6627,148.6179
-37.3644,147.6327
-36.132,147.9324
-36.1335,147.9212
-36.1245,147.9194
-36.126,147.9082
-36.1184,147.8951
-36.1034,147.8683
-36.0924,147.616
-36.094,147.6047
-36.0529,147.8403
-36.0544,147.8291
-36.0453,147.8272
-36.0362,147.8255
-36.0377,147.814
-36.0393,147.8026
-36.0682,147.5872
-36.0271,147.8238
-36.0286,147.8123
-36.0606,147.5737
-37.4532,149.1745
-37.4466,149.1727
-37.6767,148.1008
-37.5826,147.5713
-37.6755,148.0933
-37.5784,147.5655
-37.6294,147.5783
-37.0603,147.0896
-37.0799,147.0836
-37.0848,146.9951
-37.0871,147.0082
-37.641,148.7859
-37.6482,148.7715
-37.6502,148.7835
-37.6549,148.6949
-37.6569,148.7069
-37.6686,148.7787
-37.6675,148.6541
-37.6904,148.3503
-37.6194,147.7544
-37.7504,148.2129
-37.6777,148.774
-37.6799,148.7613
-37.7504,148.3376
-37.7411,148.3351
-37.6588,148.7687
-37.6609,148.7561
-37.6779,148.6553
-37.7297,148.345
-37.7318,148.3326
-37.7439,148.2592
-37.7459,148.2469
-37.6571,148.7626
-37.6738,148.6617
-37.6455,148.7728
-37.656,148.7095
-37.6665,148.6465
-37.6706,148.6214
-37.6727,148.6089
-37.7391,148.2013
-37.7411,148.1892
-37.5298,149.3969
-37.6632,148.6063
-37.7298,148.1988
-37.5177,149.4077
-37.5201,149.394
-37.6966,148.3433
-37.6987,148.3309
-37.5057,149.4185
-37.508,149.4048
-37.5104,149.3911
-37.6873,148.3407
-37.6893,148.3284
-37.5048,149.3057
-37.6972,148.1015
-37.6806,148.0845
-37.5689,148.6133
-37.6518,148.0454
-37.6426,148.0429
-37.6445,148.0308
-37.6907,147.6211
-37.5711,148.1573
-37.6251,147.7585
-37.6269,147.7467
-37.614,147.7679
-37.6159,147.7562
-37.6178,147.7443
-37.6475,147.5553
-37.6067,147.7537
-37.6086,147.7418
-37.6365,147.5648
-37.6383,147.553
-37.6273,147.5624
-37.6292,147.5506
-37.6182,147.5601
-37.62,147.5484
-37.6017,147.5436
-37.5907,147.5529
-37.5926,147.5411
-38.0616,141.8763
-38.0632,141.8611
-38.0545,141.8851
-38.0562,141.8699
-37.191,147.0948
-37.0916,147.0935
-37.1056,147.0025
-37.1074,146.9909
-37.0825,147.0916
-37.0843,147.0799
