,Unnamed: 0,YYYY/MM,nFI,nCFI,nCMSFI,tWCL,nSSR,nRep
7,7,Aug-10,2,0,0,0.035697447,1,0
70,70,Nov-15,1,0,0,0,1,0
73,73,Feb-16,4,0,0,0.296417316,1,0
106,106,Nov-18,7,0,0,54.01830412,1,0
115,115,Aug-19,2,0,0,0.055061434,1,0
6,6,Jul-10,3,0,0,0.027678556,2,7
30,30,Jul-12,3,0,0,0.017496963,2,6
31,31,Aug-12,4,0,0,0.109113191,2,4
43,43,Aug-13,3,0,0,0.029822475,2,10
54,54,Jul-14,2,0,0,0,2,8
67,67,Aug-15,5,0,0,20.62188215,2,7
80,80,Sep-16,3,0,0,0.002347545,2,13
81,81,Oct-16,3,0,0,0.015916687,2,3
97,97,Feb-18,11,1,10,1.752121601,2,8
126,126,Jul-20,4,0,0,0.107435475,2,1
66,66,Jul-15,4,0,0,0.01944097,3,13
72,72,Jan-16,6,0,0,0.036563559,3,19
78,78,Jul-16,3,0,0,0,3,12
83,83,Dec-16,5,0,0,0.023219721,3,15
84,84,Jan-17,6,0,0,0.169496382,3,9
127,127,Aug-20,11,1,9,2.948530136,3,8
128,128,Sep-20,7,0,0,0.055366534,3,16
18,18,Jul-11,6,0,0,0.009554836,4,17
24,24,Jan-12,8,0,0,0.149127583,4,13
85,85,Feb-17,9,0,0,0.106545516,4,18
90,90,Jul-17,7,0,0,0.03038005,4,15
92,92,Sep-17,38,1,32,502.6500391,4,25
103,103,Aug-18,9,0,0,0.597044882,4,10
107,107,Dec-18,9,0,0,0.023638166,4,19
109,109,Feb-19,113,2,52,786.0381664,4,15
114,114,Jul-19,20,1,9,649.6225194,4,15
129,129,Oct-20,9,0,0,0.120432224,4,18
131,131,Dec-20,5,0,0,0.011934171,4,10
5,5,Jun-10,5,0,0,0,5,16
19,19,Aug-11,8,0,0,0.01166712,5,18
37,37,Feb-13,764,5,151,711.1280261,5,14
42,42,Jul-13,10,0,0,0.160444962,5,11
49,49,Feb-14,1588,8,196,576.4678267,5,20
65,65,Jun-15,10,0,0,0.014198949,5,20
79,79,Aug-16,18,1,12,0.08014515,5,20
91,91,Aug-17,10,0,0,39.62923682,5,24
102,102,Jul-18,6,0,0,0.004503758,5,21
108,108,Jan-19,188,3,61,7.958659104,5,14
0,0,Jan-10,51,2,23,1.698357759,6,22
22,22,Nov-11,34,1,18,531.6498112,6,25
29,29,Jun-12,14,0,0,0.015418867,6,15
