,YYYY/MM,nFI,nCFI,nCMSFI
0,2010/1,51,2,23
1,2010/2,19,0,0
2,2010/3,604,14,38
3,2010/4,491,13,29
4,2010/5,124,3,10
5,2010/6,5,0,0
6,2010/7,3,0,0
7,2010/8,2,0,0
8,2010/9,0,0,0
9,2010/10,43,2,12
10,2010/11,33,1,14
11,2010/12,0,0,0
12,2011/1,0,0,0
13,2011/2,68,1,23
14,2011/3,1098,6,169
15,2011/4,906,11,75
16,2011/5,79,1,10
17,2011/6,24,0,0
18,2011/7,6,0,0
19,2011/8,8,0,0
20,2011/9,22,0,0
21,2011/10,25,0,0
22,2011/11,34,1,18
23,2011/12,18,0,0
24,2012/1,8,0,0
25,2012/2,35,0,0
26,2012/3,350,11,21
27,2012/4,554,10,45
28,2012/5,129,4,15
29,2012/6,14,0,0
30,2012/7,3,0,0
31,2012/8,4,0,0
32,2012/9,24,1,13
33,2012/10,103,3,15
34,2012/11,58,1,30
35,2012/12,28,1,12
36,2013/1,518,4,125
37,2013/2,764,5,151
38,2013/3,105,5,15
39,2013/4,516,13,34
40,2013/5,368,8,34
41,2013/6,14,0,0
42,2013/7,10,0,0
43,2013/8,3,0,0
44,2013/9,10,0,0
45,2013/10,28,0,0
46,2013/11,33,1,8
47,2013/12,36,1,13
48,2014/1,1145,10,113
49,2014/2,1588,8,196
50,2014/3,119,4,12
51,2014/4,511,12,36
52,2014/5,129,5,11
53,2014/6,0,0,0
54,2014/7,2,0,0
55,2014/8,33,0,0
56,2014/9,17,0,0
57,2014/10,77,5,10
58,2014/11,17,0,0
59,2014/12,37,1,19
60,2015/1,47,2,15
61,2015/2,33,1,8
62,2015/3,654,13,43
63,2015/4,460,11,33
64,2015/5,162,6,13
65,2015/6,10,0,0
66,2015/7,4,0,0
67,2015/8,5,0,0
68,2015/9,36,1,12
69,2015/10,37,1,19
70,2015/11,1,0,0
71,2015/12,19,0,0
72,2016/1,6,0,0
73,2016/2,4,0,0
74,2016/3,89,2,13
75,2016/4,508,9,42
76,2016/5,139,6,13
77,2016/6,17,1,8
78,2016/7,3,0,0
79,2016/8,18,1,12
80,2016/9,3,0,0
81,2016/10,3,0,0
82,2016/11,23,0,0
83,2016/12,5,0,0
84,2017/1,6,0,0
85,2017/2,9,0,0
86,2017/3,102,5,11
87,2017/4,788,14,50
88,2017/5,389,10,27
89,2017/6,32,0,0
90,2017/7,7,0,0
91,2017/8,10,0,0
92,2017/9,38,1,32
93,2017/10,31,1,18
94,2017/11,46,1,25
95,2017/12,20,0,0
96,2018/1,36,1,19
97,2018/2,11,1,10
98,2018/3,235,6,24
99,2018/4,867,13,57
100,2018/5,251,8,17
101,2018/6,51,1,10
102,2018/7,6,0,0
103,2018/8,9,0,0
104,2018/9,30,0,0
105,2018/10,16,0,0
106,2018/11,7,0,0
107,2018/12,9,0,0
108,2019/1,188,3,61
109,2019/2,113,2,52
110,2019/3,857,10,82
111,2019/4,364,10,28
112,2019/5,257,11,16
113,2019/6,36,1,13
114,2019/7,20,1,9
115,2019/8,2,0,0
116,2019/9,21,0,0
117,2019/10,31,0,0
118,2019/11,238,4,51
119,2019/12,3832,7,542
120,2020/1,5774,7,823
121,2020/2,186,7,22
122,2020/3,290,10,19
123,2020/4,231,8,16
124,2020/5,89,3,13
125,2020/6,29,1,12
126,2020/7,4,0,0
127,2020/8,11,1,9
128,2020/9,7,0,0
129,2020/10,9,0,0
130,2020/11,30,2,11
131,2020/12,5,0,0
