latout,lonout
-37.7584,143.7721
-37.7569,143.7835
-37.3453,145.5944
-37.3326,145.6152
-37.3435,145.6059
-37.3417,145.6176
-37.628,145.8464
-37.6261,145.8583
-37.3344,145.6037
-37.6171,145.8556
-37.6189,145.8439
-37.9495,145.8605
-37.4683,145.5652
-37.9476,145.8723
-37.3362,145.5921
-37.4037,145.6262
-37.4774,145.5674
-37.3526,145.6082
-37.4019,145.6378
-37.4201,145.6422
-37.746,143.7649
-37.7467,143.7708
-37.9628,145.8075
-37.4281,145.7979
-37.1743,148.9641
-37.1884,148.9665
-37.4386,145.6021
-37.4349,145.6449
-37.4135,145.8041
-37.1904,148.9366
-37.4371,145.5936
-37.4136,145.735
-37.4158,145.7449
-37.411,145.7933
-37.9607,145.798
-37.9585,145.8493
-37.2147,148.7872
-37.4871,146.4043
-37.5034,146.4112
-37.5021,146.4068
-37.4862,146.3984
-37.4208,145.7843
-37.7668,143.7482
-37.7528,143.7423
-37.9302,145.7925
-37.9337,145.8098
-37.6041,145.8538
-37.6106,145.8483
-37.6091,145.8599
-37.6192,149.6448
-38.0543,141.6077
-38.0617,141.6304
-38.0656,141.6113
-37.7551,148.0475
-37.832,146.1939
-38.2506,141.5582
-37.8282,146.1999
-37.5262,148.5179
-37.8132,143.3284
-37.521,148.081
-37.5194,148.0925
-37.6159,149.6236
-37.6642,147.555
-37.6626,147.5668
-37.612,149.5873
-37.6086,149.61
-37.5334,149.4913
-37.5458,149.4707
-37.5351,149.4799
-37.6477,149.6484
-37.7542,148.0602
-37.7558,148.0486
-37.5566,148.4963
-38.0001,141.5733
-37.9911,141.5712
-37.9968,141.5961
-37.9894,141.5826
-37.9984,141.5847
-38.2419,141.5598
-37.9982,141.5922
-37.9922,141.6017
-37.5254,149.4001
-37.5273,149.4207
-37.5467,149.4724
-37.794,146.0199
-37.2258,144.6096
-37.233,144.6184
-37.2221,144.6283
-37.9377,143.4029
-37.2214,144.6156
-35.6217,141.7936
-35.6318,141.7964
-35.6394,141.8135
-35.6292,141.8107
-37.5645,149.5225
-37.5325,149.4987
-37.5438,149.5006
-35.8692,141.4858
-35.8532,141.4583
-35.8771,141.4628
-35.8511,141.4946
-35.8349,141.4671
-35.8749,141.434
-35.849,141.4657
-35.8813,141.4553
-35.8672,141.4568
-35.863,141.4642
-35.837,141.496
-35.8551,141.4872
-37.7329,147.0152
-37.7482,148.0471
-37.2306,149.0406
-37.2321,149.0277
-37.2224,149.0259
-37.2209,149.0387
-37.7971,145.8638
-37.7953,145.8829
-37.7584,148.049
-37.8319,146.3418
-37.2763,148.8192
-37.5372,149.4315
-37.2779,148.8056
-37.789,145.8227
-37.286,148.8213
-37.2845,148.8345
-37.5388,149.4188
-37.2681,148.8037
-37.2665,148.8173
-37.5031,148.5199
-36.6794,143.6632
-37.5167,148.0511
-37.7985,145.8363
-37.7967,145.848
-37.8459,145.8967
-38.4252,144.0743
-38.4267,144.0627
-38.4161,144.0722
-38.4177,144.0607
-38.4193,144.0491
-37.4887,148.4883
-37.5131,148.5162
-37.2452,144.6121
-37.312,143.2761
-37.7877,145.847
-37.7988,145.8495
-37.7863,145.8526
-37.5786,149.5508
-37.4881,148.4934
-38.4127,144.0858
-38.4219,144.0835
-38.4237,144.0952
-37.8728,145.9109
-37.8711,145.8995
-37.7981,145.8402
-37.6024,145.7398
-38.0082,143.1101
-36.6986,145.2614
-36.3558,142.8654
-38.0174,143.1125
-37.6049,145.7259
-36.3884,145.2635
-37.5268,144.3017
-36.4991,145.8471
-37.6199,148.2739
-37.1446,143.9947
-37.6707,142.1266
-37.6164,148.2301
-36.2523,145.6105
-37.5959,145.7317
-36.2552,145.5952
-37.669,142.1381
-37.5246,144.3146
-37.5921,145.7371
-37.624,148.2539
-37.9875,142.3473
-38.0064,143.122
-37.5947,145.7232
-37.5933,145.7463
-37.3748,147.7005
-37.8719,145.9038
-37.3786,147.6815
-35.6572,141.6047
-37.6081,148.2787
-37.7464,148.6958
-37.6074,148.2851
-37.7834,148.337
-37.7848,148.3099
-37.7855,148.3033
-37.7706,148.302
-37.4215,145.8296
-37.4259,145.8347
-35.8397,141.7429
-37.3343,143.2515
-37.3322,143.2264
-37.331,143.2452
-37.5594,146.476
-37.5518,146.4821
-36.2627,146.1038
-37.3266,148.2569
-37.5086,148.0427
-36.4885,147.2917
-37.3345,148.2508
-35.8125,141.6589
-37.522,148.0733
-35.8106,141.667
-36.2553,146.1104
-36.2691,146.1117
-36.2988,145.6799
-36.4867,147.3139
-37.519,148.0659
-36.2949,145.6719
-37.3624,145.6472
-37.08,148.6644
-37.082,148.6431
-37.348,145.6454
-37.55,146.4626
-37.3595,145.6407
-37.7282,147.0045
-37.7298,146.9931
-37.5746,149.5024
-37.5799,149.5291
-37.5726,149.5146
-37.681,147.2759
-37.6719,147.2738
-37.5784,149.4786
-37.5765,149.4905
-37.6916,147.2665
-37.1665,145.1895
-37.1604,145.1823
-37.1683,145.1781
-36.2914,146.028
-36.4123,145.7216
-36.062,146.5676
-36.1274,147.2176
-36.2932,146.0162
-36.1371,147.22
-36.6874,145.5551
-36.241,146.1018
-36.9313,144.7349
-36.4397,147.3798
-36.2391,146.1138
-36.0588,146.35
-36.4379,147.3873
-37.5742,149.4986
-37.5759,149.513
-37.5775,149.5271
-36.6667,143.3341
-37.5843,149.4799
-37.5752,149.478
-37.6238,149.5903
-37.5827,149.4916
-37.5796,149.5147
-37.5812,149.5032
-37.594,149.5152
-37.5961,149.5277
-37.5797,149.5128
-37.5849,149.4852
-37.5891,149.5102
-37.5226,148.4633
-37.5854,149.4895
-37.0903,148.6308
-37.5873,149.4775
-37.5887,149.5095
-38.1107,143.9231
-36.0858,147.7267
-36.3382,146.6746
-36.3472,146.6766
-36.7346,145.2719
-36.5244,145.4861
-36.0019,146.4513
-36.4811,147.2887
-36.7455,145.2617
-35.8522,141.5755
-35.8472,141.5424
-35.8489,141.5534
-35.8399,141.5554
-35.8538,141.5866
-35.8505,141.5645
-35.8456,141.5313
-35.8562,141.5404
-36.1177,147.4425
-36.1213,147.4116
-35.6922,141.3127
-35.6891,141.3289
-35.6737,141.4106
-35.6476,141.3685
-35.6629,141.4075
-35.8569,141.5458
-35.6395,141.3434
-35.6472,141.3628
-35.64,141.3491
-37.5982,149.5398
-37.5999,149.5249
-36.109,147.4285
-37.2371,148.8422
-37.2332,148.8233
-37.2217,148.8266
-37.2257,148.8459
-36.4449,145.6421
-36.65,145.5271
-36.1084,147.4415
-37.8347,142.3133
-36.4512,145.6341
-36.1099,147.4288
-36.6483,145.543
-38.0237,143.5428
-36.1115,147.4159
-37.8387,142.307
-36.4496,145.6497
-37.8367,142.3333
-36.4466,145.6265
-36.6538,145.5347
-37.5964,149.4892
-37.6734,147.2395
-37.6749,147.2261
-37.2268,148.8186
-37.6848,147.2278
-37.5948,149.5008
-37.6039,149.5028
-37.5977,149.5491
-37.2345,148.8323
-37.236,148.8205
-36.1221,147.6488
-37.6833,147.2412
-37.5857,149.4989
-37.6115,149.5163
-37.3531,145.7552
-37.6099,149.5279
-37.5873,149.4873
-37.5888,149.4757
-35.7607,141.2501
-35.7645,141.2859
-35.7447,141.2767
-35.7367,141.2828
-35.7149,141.3017
-35.7129,141.3296
-35.62,141.5624
-35.7664,141.2578
-35.6285,141.5408
-35.7426,141.3047
-35.622,141.5356
-35.7288,141.3032
